timestamp,topic,value,display,qos,retain,msg_no
2026-03-28 01:52:16.421,WXSMART/1660101260218/STATUS/ONLINE,True,True,0,0,22
2026-03-28 19:39:18.463,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64848,64848,0,0,22
2026-03-28 19:39:18.467,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64848,64848,0,0,23
2026-03-28 19:39:19.454,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64847,64847,0,0,24
2026-03-28 19:39:19.458,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64847,64847,0,0,25
2026-03-28 19:39:20.445,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64846,64846,0,0,28
2026-03-28 19:39:20.448,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64846,64846,0,0,29
2026-03-28 19:39:21.435,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64845,64845,0,0,30
2026-03-28 19:39:21.438,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64845,64845,0,0,31
2026-03-28 19:39:22.425,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64844,64844,0,0,32
2026-03-28 19:39:22.428,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64844,64844,0,0,33
2026-03-28 19:39:23.416,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64843,64843,0,0,34
2026-03-28 19:39:23.419,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64843,64843,0,0,35
2026-03-28 19:39:24.406,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64842,64842,0,0,38
2026-03-28 19:39:24.409,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64842,64842,0,0,39
2026-03-28 19:39:25.397,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64841,64841,0,0,40
2026-03-28 19:39:25.401,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64841,64841,0,0,41
2026-03-28 19:39:26.387,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64840,64840,0,0,42
2026-03-28 19:39:26.391,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64840,64840,0,0,43
2026-03-28 19:39:27.378,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64839,64839,0,0,46
2026-03-28 19:39:27.381,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64839,64839,0,0,47
2026-03-28 19:39:28.369,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64838,64838,0,0,48
2026-03-28 19:39:28.372,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64838,64838,0,0,49
2026-03-28 19:39:29.359,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64837,64837,0,0,50
2026-03-28 19:39:29.363,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64837,64837,0,0,51
2026-03-28 19:39:30.349,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64836,64836,0,0,52
2026-03-28 19:39:30.351,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64836,64836,0,0,53
2026-03-28 19:39:31.339,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64835,64835,0,0,56
2026-03-28 19:39:31.342,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64835,64835,0,0,57
2026-03-28 19:39:32.253,WXSMART/1660101260218/STATUS/ONLINE,ONLINE,ONLINE,0,0,58
2026-03-28 19:39:32.330,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64834,64834,0,0,59
2026-03-28 19:39:32.334,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64834,64834,0,0,60
2026-03-28 19:39:33.321,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64833,64833,0,0,61
2026-03-28 19:39:33.324,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64833,64833,0,0,62
2026-03-28 19:39:34.311,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64832,64832,0,0,65
2026-03-28 19:39:34.321,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64832,64832,0,0,66
2026-03-28 19:39:35.301,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64831,64831,0,0,69
2026-03-28 19:39:35.304,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64831,64831,0,0,70
2026-03-28 19:39:36.292,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64830,64830,0,0,71
2026-03-28 19:39:36.295,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64830,64830,0,0,72
2026-03-28 19:39:37.281,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64829,64829,0,0,73
2026-03-28 19:39:37.284,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64829,64829,0,0,74
2026-03-28 19:39:38.272,WXSMART/1660101260218/STATUS/Tool1/Counter/Time,64828,64828,0,0,77
2026-03-28 19:39:38.274,WXSMART/1660101260218/STATUS/Tool2/Counter/Time,64828,64828,0,0,78
